itemid,label,aliases,valueuom,category,fluid,structured_text
50863,Alkaline Phosphatase,Alkaline Phosphatase | Alkaline Phosphatase Blood | Chemistry Alkaline Phosphatase,IU/L,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Alkaline Phosphatase
ALIASES: Alkaline Phosphatase | Alkaline Phosphatase Blood | Chemistry Alkaline Phosphatase
UNIT: IU/L
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50863"
50881,Beta-2 Microglobulin,Beta-2 Microglobulin | Beta-2 Microglobulin Blood | Chemistry Beta-2 Microglobulin,mg/L,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Beta-2 Microglobulin
ALIASES: Beta-2 Microglobulin | Beta-2 Microglobulin Blood | Chemistry Beta-2 Microglobulin
UNIT: mg/L
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50881"
50913,Cryoglobulin,Cryoglobulin | Cryoglobulin Blood | Chemistry Cryoglobulin,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Cryoglobulin
ALIASES: Cryoglobulin | Cryoglobulin Blood | Chemistry Cryoglobulin
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50913"
51572,Bioavailable Testosterone,Bioavailable Testosterone | Bioavailable Testosterone Blood | Chemistry Bioavailable Testosterone,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Bioavailable Testosterone
ALIASES: Bioavailable Testosterone | Bioavailable Testosterone Blood | Chemistry Bioavailable Testosterone
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51572"
51631,Glycated Hemoglobin,Glycated Hemoglobin | Glycated Hemoglobin Blood | Chemistry Glycated Hemoglobin,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Glycated Hemoglobin
ALIASES: Glycated Hemoglobin | Glycated Hemoglobin Blood | Chemistry Glycated Hemoglobin
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51631"
51636,"HCG, Multiples of Median","HCG, Multiples of Median | HCG Multiples of Median | HCG, Multiples of Median Blood | Chemistry HCG, Multiples of Median",,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: HCG, Multiples of Median
ALIASES: HCG, Multiples of Median | HCG Multiples of Median | HCG, Multiples of Median Blood | Chemistry HCG, Multiples of Median
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51636"
51649,Hepatitis B Virus E Antibody,Hepatitis B Virus E Antibody | Hepatitis B Virus E Antibody Blood | Chemistry Hepatitis B Virus E Antibody,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hepatitis B Virus E Antibody
ALIASES: Hepatitis B Virus E Antibody | Hepatitis B Virus E Antibody Blood | Chemistry Hepatitis B Virus E Antibody
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51649"
51767,EE5,EE5 | EE5 Blood | Chemistry EE5,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: EE5
ALIASES: EE5 | EE5 Blood | Chemistry EE5
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51767"
50896,Calculated Thyroxine (T4) Index,Calculated Thyroxine (T4) Index | Calculated Thyroxine (T4) Index Blood | Chemistry Calculated Thyroxine (T4) Index,ug/dL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Calculated Thyroxine (T4) Index
ALIASES: Calculated Thyroxine (T4) Index | Calculated Thyroxine (T4) Index Blood | Chemistry Calculated Thyroxine (T4) Index
UNIT: ug/dL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50896"
50930,Globulin,Globulin | Globulin Blood | Chemistry Globulin,g/dL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Globulin
ALIASES: Globulin | Globulin Blood | Chemistry Globulin
UNIT: g/dL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50930"
50933,Green Top Hold (plasma),Green Top Hold (plasma) | Green Top Hold (plasma) Blood | Chemistry Green Top Hold (plasma),,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Green Top Hold (plasma)
ALIASES: Green Top Hold (plasma) | Green Top Hold (plasma) Blood | Chemistry Green Top Hold (plasma)
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50933"
50940,Hepatitis B Surface Antibody,Hepatitis B Surface Antibody | Hepatitis B Surface Antibody Blood | Chemistry Hepatitis B Surface Antibody,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hepatitis B Surface Antibody
ALIASES: Hepatitis B Surface Antibody | Hepatitis B Surface Antibody Blood | Chemistry Hepatitis B Surface Antibody
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50940"
50941,Hepatitis B Surface Antigen,Hepatitis B Surface Antigen | Hepatitis B Surface Antigen Blood | Chemistry Hepatitis B Surface Antigen,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hepatitis B Surface Antigen
ALIASES: Hepatitis B Surface Antigen | Hepatitis B Surface Antigen Blood | Chemistry Hepatitis B Surface Antigen
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50941"
51598,Cytomegalovirus Viral Load,Cytomegalovirus Viral Load | Cytomegalovirus Viral Load Blood | Chemistry Cytomegalovirus Viral Load,log10 IU/mL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Cytomegalovirus Viral Load
ALIASES: Cytomegalovirus Viral Load | Cytomegalovirus Viral Load Blood | Chemistry Cytomegalovirus Viral Load
UNIT: log10 IU/mL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51598"
51601,Delete,Delete | Delete Blood | Chemistry Delete,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Delete
ALIASES: Delete | Delete Blood | Chemistry Delete
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51601"
53129,3t,3t | 3t Blood | Chemistry 3t,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: 3t
ALIASES: 3t | 3t Blood | Chemistry 3t
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 53129"
53137,Afp Mom,Afp Mom | Afp Mom Blood | Chemistry Afp Mom,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Afp Mom
ALIASES: Afp Mom | Afp Mom Blood | Chemistry Afp Mom
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 53137"
51648,Hepatitis B Viral Load,Hepatitis B Viral Load | Hepatitis B Viral Load Blood | Chemistry Hepatitis B Viral Load,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hepatitis B Viral Load
ALIASES: Hepatitis B Viral Load | Hepatitis B Viral Load Blood | Chemistry Hepatitis B Viral Load
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51648"
51704,Platelet Count,Platelet Count | Platelet Count Blood | Chemistry Platelet Count,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Platelet Count
ALIASES: Platelet Count | Platelet Count Blood | Chemistry Platelet Count
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51704"
51735,STX4,STX4 | STX4 Blood | Chemistry STX4,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: STX4
ALIASES: STX4 | STX4 Blood | Chemistry STX4
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51735"
51763,EE2,EE2 | EE2 Blood | Chemistry EE2,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: EE2
ALIASES: EE2 | EE2 Blood | Chemistry EE2
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51763"
53087,Amylase,Amylase | Amylase Blood | Chemistry Amylase,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Amylase
ALIASES: Amylase | Amylase Blood | Chemistry Amylase
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 53087"
53141,Alpha-1,Alpha-1 | Alpha-1 Blood | Chemistry Alpha-1,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Alpha-1
ALIASES: Alpha-1 | Alpha-1 Blood | Chemistry Alpha-1
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 53141"
53143,Alpha-2,Alpha-2 | Alpha-2 Blood | Chemistry Alpha-2,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Alpha-2
ALIASES: Alpha-2 | Alpha-2 Blood | Chemistry Alpha-2
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 53143"
50865,Amikacin,Amikacin | Amikacin Blood | Chemistry Amikacin,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Amikacin
ALIASES: Amikacin | Amikacin Blood | Chemistry Amikacin
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50865"
50885,"Bilirubin, Total","Bilirubin, Total | Bilirubin Total | Bilirubin, Total Blood | Chemistry Bilirubin, Total",mg/dL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Bilirubin, Total
ALIASES: Bilirubin, Total | Bilirubin Total | Bilirubin, Total Blood | Chemistry Bilirubin, Total
UNIT: mg/dL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50885"
50921,Estradiol,Estradiol | Estradiol Blood | Chemistry Estradiol,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Estradiol
ALIASES: Estradiol | Estradiol Blood | Chemistry Estradiol
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50921"
51609,Disopyramide,Disopyramide | Disopyramide Blood | Chemistry Disopyramide,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Disopyramide
ALIASES: Disopyramide | Disopyramide Blood | Chemistry Disopyramide
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51609"
51617,Epstein-Barr Virus IgM Ab Value,Epstein-Barr Virus IgM Ab Value | Epstein-Barr Virus IgM Ab Value Blood | Chemistry Epstein-Barr Virus IgM Ab Value,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Epstein-Barr Virus IgM Ab Value
ALIASES: Epstein-Barr Virus IgM Ab Value | Epstein-Barr Virus IgM Ab Value Blood | Chemistry Epstein-Barr Virus IgM Ab Value
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51617"
51621,Ethylene Glycol,Ethylene Glycol | Ethylene Glycol Blood | Chemistry Ethylene Glycol,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Ethylene Glycol
ALIASES: Ethylene Glycol | Ethylene Glycol Blood | Chemistry Ethylene Glycol
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51621"
51623,Fibrinogen,Fibrinogen | Fibrinogen Blood | Chemistry Fibrinogen,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Fibrinogen
ALIASES: Fibrinogen | Fibrinogen Blood | Chemistry Fibrinogen
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51623"
51632,Growth Hormone,Growth Hormone | Growth Hormone Blood | Chemistry Growth Hormone,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Growth Hormone
ALIASES: Growth Hormone | Growth Hormone Blood | Chemistry Growth Hormone
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51632"
51643,Hemoglobin A2,Hemoglobin A2 | Hemoglobin A2 Blood | Chemistry Hemoglobin A2,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hemoglobin A2
ALIASES: Hemoglobin A2 | Hemoglobin A2 Blood | Chemistry Hemoglobin A2
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51643"
51664,HPE8,HPE8 | HPE8 Blood | Chemistry HPE8,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: HPE8
ALIASES: HPE8 | HPE8 Blood | Chemistry HPE8
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51664"
51770,MDRDgfr,MDRDgfr | MDRDgfr Blood | Chemistry MDRDgfr,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: MDRDgfr
ALIASES: MDRDgfr | MDRDgfr Blood | Chemistry MDRDgfr
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51770"
52623,Sodium,Sodium | Sodium Blood | Chemistry Sodium,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Sodium
ALIASES: Sodium | Sodium Blood | Chemistry Sodium
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 52623"
53128,11-Deoxycorticosterone,11-Deoxycorticosterone | 11-Deoxycorticosterone Blood | Chemistry 11-Deoxycorticosterone,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: 11-Deoxycorticosterone
ALIASES: 11-Deoxycorticosterone | 11-Deoxycorticosterone Blood | Chemistry 11-Deoxycorticosterone
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 53128"
50857,Acetone,Acetone | Acetone Blood | Chemistry Acetone,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Acetone
ALIASES: Acetone | Acetone Blood | Chemistry Acetone
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50857"
50907,"Cholesterol, Total","Cholesterol, Total | Cholesterol Total | Cholesterol, Total Blood | Chemistry Cholesterol, Total",mg/dL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Cholesterol, Total
ALIASES: Cholesterol, Total | Cholesterol Total | Cholesterol, Total Blood | Chemistry Cholesterol, Total
UNIT: mg/dL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50907"
50994,Thyroxine (T4),Thyroxine (T4) | Thyroxine (T4) Blood | Chemistry Thyroxine (T4),ug/dL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Thyroxine (T4)
ALIASES: Thyroxine (T4) | Thyroxine (T4) Blood | Chemistry Thyroxine (T4)
UNIT: ug/dL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50994"
51005,Uptake Ratio,Uptake Ratio | Uptake Ratio Blood | Chemistry Uptake Ratio,Ratio,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Uptake Ratio
ALIASES: Uptake Ratio | Uptake Ratio Blood | Chemistry Uptake Ratio
UNIT: Ratio
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51005"
51575,C1q,C1q | C1q Blood | Chemistry C1q,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: C1q
ALIASES: C1q | C1q Blood | Chemistry C1q
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51575"
51678,L,L | L Blood | Chemistry L,U,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: L
ALIASES: L | L Blood | Chemistry L
UNIT: U
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51678"
51725,Rubeola IgG Ab,Rubeola IgG Ab | Rubeola IgG Ab Blood | Chemistry Rubeola IgG Ab,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Rubeola IgG Ab
ALIASES: Rubeola IgG Ab | Rubeola IgG Ab Blood | Chemistry Rubeola IgG Ab
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51725"
51726,Rubeola IgG Ab Value,Rubeola IgG Ab Value | Rubeola IgG Ab Value Blood | Chemistry Rubeola IgG Ab Value,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Rubeola IgG Ab Value
ALIASES: Rubeola IgG Ab Value | Rubeola IgG Ab Value Blood | Chemistry Rubeola IgG Ab Value
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51726"
51762,EE1,EE1 | EE1 Blood | Chemistry EE1,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: EE1
ALIASES: EE1 | EE1 Blood | Chemistry EE1
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51762"
53142,Alpha-1-antitrypsin,Alpha-1-antitrypsin | Alpha-1-antitrypsin Blood | Chemistry Alpha-1-antitrypsin,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Alpha-1-antitrypsin
ALIASES: Alpha-1-antitrypsin | Alpha-1-antitrypsin Blood | Chemistry Alpha-1-antitrypsin
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 53142"
50884,"Bilirubin, Indirect","Bilirubin, Indirect | Bilirubin Indirect | Bilirubin, Indirect Blood | Chemistry Bilirubin, Indirect",mg/dL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Bilirubin, Indirect
ALIASES: Bilirubin, Indirect | Bilirubin Indirect | Bilirubin, Indirect Blood | Chemistry Bilirubin, Indirect
UNIT: mg/dL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50884"
50931,Glucose,Glucose | Glucose Blood | Chemistry Glucose,mg/dL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Glucose
ALIASES: Glucose | Glucose Blood | Chemistry Glucose
UNIT: mg/dL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50931"
50952,Iron,Iron | Iron Blood | Chemistry Iron,ug/dL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Iron
ALIASES: Iron | Iron Blood | Chemistry Iron
UNIT: ug/dL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50952"
50968,"Phenytoin, Free","Phenytoin, Free | Phenytoin Free | Phenytoin, Free Blood | Chemistry Phenytoin, Free",,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Phenytoin, Free
ALIASES: Phenytoin, Free | Phenytoin Free | Phenytoin, Free Blood | Chemistry Phenytoin, Free
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50968"
51647,Hemoglobin S,Hemoglobin S | Hemoglobin S Blood | Chemistry Hemoglobin S,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hemoglobin S
ALIASES: Hemoglobin S | Hemoglobin S Blood | Chemistry Hemoglobin S
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51647"
51680,"LD, Isoenzyme 1","LD, Isoenzyme 1 | LD Isoenzyme 1 | LD, Isoenzyme 1 Blood | Chemistry LD, Isoenzyme 1",,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: LD, Isoenzyme 1
ALIASES: LD, Isoenzyme 1 | LD Isoenzyme 1 | LD, Isoenzyme 1 Blood | Chemistry LD, Isoenzyme 1
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51680"
51682,"LD, Isoenzyme 3","LD, Isoenzyme 3 | LD Isoenzyme 3 | LD, Isoenzyme 3 Blood | Chemistry LD, Isoenzyme 3",,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: LD, Isoenzyme 3
ALIASES: LD, Isoenzyme 3 | LD Isoenzyme 3 | LD, Isoenzyme 3 Blood | Chemistry LD, Isoenzyme 3
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51682"
51707,Progesterone,Progesterone | Progesterone Blood | Chemistry Progesterone,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Progesterone
ALIASES: Progesterone | Progesterone Blood | Chemistry Progesterone
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51707"
51750,"UE3, Multiples of Median","UE3, Multiples of Median | UE3 Multiples of Median | UE3, Multiples of Median Blood | Chemistry UE3, Multiples of Median",,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: UE3, Multiples of Median
ALIASES: UE3, Multiples of Median | UE3 Multiples of Median | UE3, Multiples of Median Blood | Chemistry UE3, Multiples of Median
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51750"
50897,Call,Call | Call Blood | Chemistry Call,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Call
ALIASES: Call | Call Blood | Chemistry Call
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50897"
50908,CK-MB Index,CK-MB Index | CK-MB Index Blood | Chemistry CK-MB Index,%,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: CK-MB Index
ALIASES: CK-MB Index | CK-MB Index Blood | Chemistry CK-MB Index
UNIT: %
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50908"
50954,Lactate Dehydrogenase (LD),Lactate Dehydrogenase (LD) | Lactate Dehydrogenase (LD) Blood | Chemistry Lactate Dehydrogenase (LD),IU/L,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Lactate Dehydrogenase (LD)
ALIASES: Lactate Dehydrogenase (LD) | Lactate Dehydrogenase (LD) Blood | Chemistry Lactate Dehydrogenase (LD)
UNIT: IU/L
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50954"
50978,Rapamycin,Rapamycin | Rapamycin Blood | Chemistry Rapamycin,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Rapamycin
ALIASES: Rapamycin | Rapamycin Blood | Chemistry Rapamycin
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50978"
50984,Stat,Stat | Stat Blood | Chemistry Stat,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Stat
ALIASES: Stat | Stat Blood | Chemistry Stat
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50984"
51618,Epstein-Barr Virus Interpretation,Epstein-Barr Virus Interpretation | Epstein-Barr Virus Interpretation Blood | Chemistry Epstein-Barr Virus Interpretation,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Epstein-Barr Virus Interpretation
ALIASES: Epstein-Barr Virus Interpretation | Epstein-Barr Virus Interpretation Blood | Chemistry Epstein-Barr Virus Interpretation
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51618"
51690,Lymphocytes,Lymphocytes | Lymphocytes Blood | Chemistry Lymphocytes,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Lymphocytes
ALIASES: Lymphocytes | Lymphocytes Blood | Chemistry Lymphocytes
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51690"
51733,STX2,STX2 | STX2 Blood | Chemistry STX2,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: STX2
ALIASES: STX2 | STX2 Blood | Chemistry STX2
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51733"
51751,Uncon Bil,Uncon Bil | Uncon Bil Blood | Chemistry Uncon Bil,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Uncon Bil
ALIASES: Uncon Bil | Uncon Bil Blood | Chemistry Uncon Bil
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51751"
53147,Anti Hbc,Anti Hbc | Anti Hbc Blood | Chemistry Anti Hbc,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Anti Hbc
ALIASES: Anti Hbc | Anti Hbc Blood | Chemistry Anti Hbc
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 53147"
53154,Lactate,Lactate | Lactate Blood | Chemistry Lactate,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Lactate
ALIASES: Lactate | Lactate Blood | Chemistry Lactate
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 53154"
50860,"AFP, Maternal Screen","AFP, Maternal Screen | AFP Maternal Screen | AFP, Maternal Screen Blood | Chemistry AFP, Maternal Screen",,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: AFP, Maternal Screen
ALIASES: AFP, Maternal Screen | AFP Maternal Screen | AFP, Maternal Screen Blood | Chemistry AFP, Maternal Screen
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50860"
50877,Anti-Thyroglobulin Antibodies,Anti-Thyroglobulin Antibodies | Anti-Thyroglobulin Antibodies Blood | Chemistry Anti-Thyroglobulin Antibodies,IU/mL,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Anti-Thyroglobulin Antibodies
ALIASES: Anti-Thyroglobulin Antibodies | Anti-Thyroglobulin Antibodies Blood | Chemistry Anti-Thyroglobulin Antibodies
UNIT: IU/mL
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 50877"
51562,Anti-Skin Antibody,Anti-Skin Antibody | Anti-Skin Antibody Blood | Chemistry Anti-Skin Antibody,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Anti-Skin Antibody
ALIASES: Anti-Skin Antibody | Anti-Skin Antibody Blood | Chemistry Anti-Skin Antibody
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51562"
51578,C6,C6 | C6 Blood | Chemistry C6,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: C6
ALIASES: C6 | C6 Blood | Chemistry C6
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51578"
51645,"Hemoglobin, Calculated","Hemoglobin, Calculated | Hemoglobin Calculated | Hemoglobin, Calculated Blood | Chemistry Hemoglobin, Calculated",,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hemoglobin, Calculated
ALIASES: Hemoglobin, Calculated | Hemoglobin Calculated | Hemoglobin, Calculated Blood | Chemistry Hemoglobin, Calculated
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51645"
51669,Htlv Ab,Htlv Ab | Htlv Ab Blood | Chemistry Htlv Ab,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Htlv Ab
ALIASES: Htlv Ab | Htlv Ab Blood | Chemistry Htlv Ab
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51669"
51688,Lyme C6 Ab,Lyme C6 Ab | Lyme C6 Ab Blood | Chemistry Lyme C6 Ab,,Chemistry,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Lyme C6 Ab
ALIASES: Lyme C6 Ab | Lyme C6 Ab Blood | Chemistry Lyme C6 Ab
UNIT: 
CATEGORY: Chemistry
FLUID: Blood
LOINC: 
ITEMID: 51688"
